Дата,Баланс,Добавил админ,Покупка у бота,Покупка у бота вирт,Покупка у пользователя,инвайт,промо,Восстановлен,Продажа боту,Продажа боту виртуальных,Продажа пользователю,Комиссия за продажу пользваотелю,Пополнения
2022.4.19,786279.5,0,0,-1255,-5442,90,135,0,968.09,0,5442,-338.22,651
2022.4.20,786489.2,280,0,-1548,-7546,135,130,0,1224.8401,0,7546,-452.48993,925
2022.4.21,786997.1,280,0,-2470,-6418,95,95,0,2071.98,0,6418,-402.34998,1964
2022.4.22,788610.5,615,0,-1065,-10689,125,180,0,739.52,35.75,10689,-617,2256
2022.4.23,790971.3,0,0,-1168,-11260,145,150,0,906.45,0,11260,-569.38983,1631
2022.4.24,791991.6,0,0,-35437,-11893,160,855,0,29942.65,0,11893,-636.45,2467
2022.4.25,789189.75,0,0,-5452,-39446,185,625,0,4260.29,0,39446,-2115.9297,1382
2022.4.26,788165.5,2500,0,-2456,-49524,110,1690,0,1762.58,71,49524,-2280.29,5342
2022.4.27,794821.56,0,0,-7911,-22750,105,600,0,5876.8,0,22750,-1307.73,557
2022.4.28,792683.75,0,0,-10259,-13916,65,360,0,16388.26,62.55,13916,-738.7002,1052
2022.4.29,799467.94,680,0,-14325,-17064,105,360,0,4055.07,561.59,17064,-947.57007,1511
2022.4.30,791400.3,0,0,-723,-5873,40,285,0,557.46,0,5873,-269.59,4781
2022.5.1,796153.25,0,-29,-1625,-13420,55,255,0,1205.34,0,13420,-646.0401,6863
2022.5.2,802184.06,0,0,-7337,-15044,125,135,0,4934.72,800.83997,15044,-666.4497,2965
2022.5.3,803031.1,0,0,-3177,-17291,75,185,0,2544.9302,20.37,17291,-780.87,2332
2022.5.4,804156.6,0,0,-1778,-12854,70,255,0,1408.0302,0,12854,-682.5801,4834.25
2022.5.5,808185.3,0,-5831,-1923,-35673,110,90,0,1474.3899,23.88,35673,-1679.21,1324
2022.5.6,801670.4,0,0,-1637,-10128,45,155,0,1267.8401,0,10128,-515.37994,5119
2022.5.7,806049.9,0,-1641,-2103,-11602,100,215,0,1671.7902,0,11602,-572.16003,7200
2022.5.8,810913.5,0,0,-890,-12542,60,320,0,810.81,0,12542,-640.75006,6442
2022.5.9,816884.6,0,-27,-1449,-32622,45,145,0,1046.74,0,32622,-1847.6598,23631
2022.5.10,838487.25,0,0,-1980,-18921,75,120,0,1610.31,0,18921,-696.7001,1652
2022.5.11,839141.2,0,-18,-1953,-22062,95,160,0,1456.7101,20,22062,-966.19995,5229
2022.5.12,843024.1,100,0,-1518,-23689,75,85,0,1283.7201,15.76,23689,-962.80023,2454
2022.5.13,844612.5,0,-511,-2825,-16535,55,125,0,1935.2599,0,16535,-721.1002,1389
2022.5.14,844076.4,0,-131,-1042,-10663,120,120,0,740.13995,0,10663,-562.08997,2292
2022.5.15,845616.1,0,-87,-1241,-24674,60,70,0,898.44,0,24674,-947.2301,6691.5
2022.5.16,851018.56,0,0,-2998,-11892,130,100,0,2405.56,83.09,11892,-577.32007,5220
2022.5.17,855367.75,0,0,-1905,-11053,65,75,0,1486.5101,0,11053,-493.11996,4406
2022.5.18,858995.4,0,0,-2564,-9300,95,135,0,1993.0302,0,9300,-425.07996,1779
2022.5.19,859989.75,0,0,-1028,-13571,80,65,0,812.86005,0,13571,-639.38995,1339
2022.5.20,860447.25,3000,0,-1983,-7600,120,85,0,1590.3002,0,7600,-417.87997,31856.45
2022.5.21,894714.5,0,0,-1595,-40568,90,145,0,1177.94,0,40568,-1411.7598,6211
2022.5.22,899294.1,0,0,-1983,-16704,160,675,0,1514.1,0,16704,-724.27997,5101
2022.5.23,904052.5,0,0,-5740,-18087,355,3055,0,4572.7397,0,18087,-912.7199,4492
2022.5.24,909823.2,0,-286,-6637,-32557,305,1775,0,5143.8403,0,32557,-1693.0095,6285
2022.5.25,914701.94,0,0,-3431,-13795,175,285,0,2778.8198,0,13795,-697.79,2071
2022.5.26,915630.7,0,0,-3449,-15449,105,35,0,2593.4902,0,15449,-759.0201,7369
2022.5.27,921710.25,0,0,-4044,-13363,120,55,0,2578.43,636.39,13363,-682.9502,1571
2022.5.28,921746.75,4263,-83,-1977,-27622,115,60,0,1244.98,164,27622,-1621.7001,2980
2022.5.29,927003.25,0,0,-887,-11086,75,25,0,693.3301,0,11086,-741.49005,4443
2022.5.30,930559.06,0,-69,-4116,-13488,100,40,0,3200.9404,30.38,13488,-801.81006,2575
2022.5.31,931549.7,500,0,-8219,-16842,110,30,0,6695.1,76.840004,16842,-995.51,3746
2022.6.1,933283.94,0,-23,-2505,-27876,90,30,0,1156.25,62.04,27876,-1754.7598,3417
2022.6.2,933645,1302,0,-4774,-12260,95,55,0,3865.0898,0,12260,-838.6001,2578
2022.6.3,935998.1,0,0,-2724,-21633,130,35,0,2155.0103,0,21633,-1299.5198,3520
2022.6.4,937706.56,550,0,-1333,-14429,85,65,0,972.94995,54,14429,-765.55,8546
2022.6.5,945929.9,0,-49,-3051,-7656,115,80,0,2128.97,36,7656,-423.63998,1427
